idx,label
0,bow
1,brushing hair
2,brushing teeth
3,check time (from watch)
4,cheer up
5,clapping
6,cross hands in front (say stop)
7,drink water
8,drop
9,eat meal/snack
10,falling
11,giving something to other person
12,hand waving
13,handshaking
14,hopping (one foot jumping)
15,hugging other person
16,jump up
17,kicking other person
18,kicking something
19,make a phone call/answer phone
20,pat on back of other person
21,pickup
22,playing with phone/tablet
23,point finger at the other person
24,pointing to something with finger
25,punching/slapping other person
26,pushing other person
27,put on a hat/cap
28,put something inside pocket
29,reading
30,rub two hands together
31,salute
32,sitting down
33,standing up
34,take off a hat/cap
35,take off glasses
36,take off jacket
37,take out something from pocket
38,taking a selfie
39,tear up paper
40,throw
41,touch back (backache)
42,touch chest (stomachache/heart pain)
43,touch head (headache)
44,touch neck (neckache)
45,typing on a keyboard
46,use a fan (with hand or paper)/feeling warm
47,wear jacket
48,wear on glasses
49,wipe face
50,writing
